DICA,WASHINGTON REIS,abstencoes,aptos,bairro,cep,endereco,lat,location,lon,nao_considerados,nome_local,nome_munic,num_local,secoes,votos_anulados,votos_brancos,votos_legenda,votos_nominais,votos_nulos,zona
473,1775,774,3298,CAPIVARI,25243150,PRACA SAO LOURENCO 112,-22.6521766,"PRACA SAO LOURENCO 112, CAPIVARI, DUQUE DE CAXIAS, Rio de Janeiro",-43.3186229,1050,ESCOLA MUNICIPAL PRESIDENTE COSTA E SILVA,DUQUE DE CAXIAS,1406,9,0,73,0,2248,203,126
657,1104,604,2670,VILA CANAAN,25255160,RUA BONSUCESSO S/N,-22.62591,"RUA BONSUCESSO S/N, VILA CANAAN, DUQUE DE CAXIAS, Rio de Janeiro",-43.28628,909,ESCOLA ESTADUAL ALEMY TAVARES DA SILVA,DUQUE DE CAXIAS,1139,7,0,66,0,1761,239,128
1337,921,1210,3834,CENTRO,25010000,AV. PRESIDENTE KENNEDY 514,-22.7950127,"AV. PRESIDENTE KENNEDY 514, CENTRO, DUQUE DE CAXIAS, Rio de Janeiro",-43.3052769,1576,COLEGIO FUTURO VIP (ANTIGO CURSO GPI),DUQUE DE CAXIAS,1058,11,0,99,0,2258,267,103
795,948,660,2743,DOUTOR LAUREANO,25050580,AV. CHOPIN 25,-22.7601156,"AV. CHOPIN 25, DOUTOR LAUREANO, DUQUE DE CAXIAS, Rio de Janeiro",-43.2962677,1000,ESCOLA ESTADUAL HERBERT MOSES,DUQUE DE CAXIAS,1082,7,0,83,0,1743,257,78
1443,1809,1276,5315,SARACURUNA,25220660,RUA DO PORTO S/N,-22.68005,"RUA DO PORTO S/N, SARACURUNA, DUQUE DE CAXIAS, Rio de Janeiro",-43.24281,2063,CIEP 228 DARCY VARGAS,DUQUE DE CAXIAS,1554,14,0,182,0,3252,605,126
1548,2435,1913,6788,NOVA CAMPINAS,25211220,"AV. A, S/N",-22.75381,"AV. A, S/N, NOVA CAMPINAS, DUQUE DE CAXIAS, Rio de Janeiro",-43.28259,2805,CIEP 227 - PROCÓPIO FERREIRA,DUQUE DE CAXIAS,1120,20,0,229,0,3983,663,127
1035,1182,1064,3744,PARADA ANGÉLICA,25272230,"RUA REAL DA ESTRELA, S/N",-22.62394,"RUA REAL DA ESTRELA, S/N, PARADA ANGÉLICA, DUQUE DE CAXIAS, Rio de Janeiro",-43.20364,1527,CIEP 407 - NEUZA GOULART BRIZOLA,DUQUE DE CAXIAS,1074,13,0,141,0,2217,322,127
255,230,314,903,CENTRO,25070005,"PRACA ROBERTO SILVEIRA, 24",-22.7822217,"PRACA ROBERTO SILVEIRA, 24, CENTRO, DUQUE DE CAXIAS, Rio de Janeiro",-43.2966834,418,CEF - CAIXA ECONÔMICA FEDERAL - AGÊNCIA 1334 - 25 DE AGOSTO,DUQUE DE CAXIAS,1112,3,0,25,0,485,79,66
1461,1443,1091,4632,JARDIM PRIMAVERA,25223540,PRACA NOSSA SENHORA DE LOURDES S/N,-22.68787,"PRACA NOSSA SENHORA DE LOURDES S/N, JARDIM PRIMAVERA, DUQUE DE CAXIAS, Rio de Janeiro",-43.26686,1728,CIEP 209 ATAULPHO ALVES,DUQUE DE CAXIAS,1120,12,0,177,0,2904,460,126
1520,1905,1235,5339,CIDADE DOS MENINOS,25233000,AV.PRESIDENTE KENNEDY KM 12,-22.66817,"AV.PRESIDENTE KENNEDY KM 12, CIDADE DOS MENINOS, DUQUE DE CAXIAS, Rio de Janeiro",-43.3287,1914,CIEP 032 - CORA CORALINA,DUQUE DE CAXIAS,1066,15,0,161,0,3425,518,79
