DICA,WASHINGTON REIS,abstencoes,aptos,bairro,cep,codigo_municipio,endereco,location,nao_considerados,nome_local,nome_munic,num_local,percentual_abstencoes,percentual_anulados,percentual_brancos,percentual_legenda,percentual_nominais,percentual_nulos,secao,votos_anulados,votos_brancos,votos_legenda,votos_nominais,votos_nulos,zona
115,123,72,348,VILA SÃO LUIS,25065050,58335,RUA GENERAL MANOEL RABELO S/N,"RUA GENERAL MANOEL RABELO S/N, VILA SÃO LUIS, DUQUE DE CAXIAS, Rio de Janeiro",110,FACULDADE DE EDUCACAO DA BAIXADA FLUMINENSE - UERJ,DUQUE DE CAXIAS,1155,0.21,0.0,0.02,0.0,0.68,0.09,74,0,8,0,238,30,200
69,82,87,266,GRAMACHO,25035185,58335,"RUA JOAQUIM JOSE SOARES, N 273","RUA JOAQUIM JOSE SOARES, N 273, GRAMACHO, DUQUE DE CAXIAS, Rio de Janeiro",115,CENSA -  CENTRO EDUCACIONAL DE CAXIAS NOSSA SRA APARECIDA,DUQUE DE CAXIAS,1287,0.33,0.0,0.03,0.0,0.57,0.08,36,0,7,0,151,21,194
70,197,69,385,VILA MARIA HELENA,25251600,58335,RUA EUSTAQUIO DE AZEVEDO S/N,"RUA EUSTAQUIO DE AZEVEDO S/N, VILA MARIA HELENA, DUQUE DE CAXIAS, Rio de Janeiro",118,CIEP 370 PROFESSOR SYLVIO GNECCO DE CARVALHO,DUQUE DE CAXIAS,1635,0.18,0.0,0.03,0.0,0.69,0.09,329,0,13,0,267,36,126
76,84,93,286,PARADA ANGÉLICA,25272230,58335,"RUA REAL DA ESTRELA, S/N","RUA REAL DA ESTRELA, S/N, PARADA ANGÉLICA, DUQUE DE CAXIAS, Rio de Janeiro",126,CIEP 407 - NEUZA GOULART BRIZOLA,DUQUE DE CAXIAS,1074,0.33,0.0,0.04,0.0,0.56,0.07,44,0,12,0,160,21,127
64,164,84,365,SANTA CRUZ DA SERRA,25251740,58335,RODOVIA WASHINGTON LUIZ S/N,"RODOVIA WASHINGTON LUIZ S/N, SANTA CRUZ DA SERRA, DUQUE DE CAXIAS, Rio de Janeiro",137,CIEP MONTEIRO LOBATO,DUQUE DE CAXIAS,1147,0.23,0.0,0.03,0.0,0.62,0.12,71,0,11,0,228,42,128
142,113,108,398,SÃO BENTO,25045000,58335,AV. PRESIDENTE KENNEDY S/N,"AV. PRESIDENTE KENNEDY S/N, SÃO BENTO, DUQUE DE CAXIAS, Rio de Janeiro",143,CIEP 118 VEREADOR VILSON CAMPOS MACEDO,DUQUE DE CAXIAS,1783,0.27,0.0,0.03,0.0,0.64,0.06,116,0,10,0,255,25,79
130,57,102,326,SÃO BENTO,25045000,58335,AV. PRESIDENTE KENNEDY S/N,"AV. PRESIDENTE KENNEDY S/N, SÃO BENTO, DUQUE DE CAXIAS, Rio de Janeiro",139,CIEP 201 AARAO STEINBRUCH,DUQUE DE CAXIAS,1910,0.31,0.0,0.03,0.0,0.57,0.08,148,0,10,0,187,27,79
138,101,69,381,JARDIM PRIMAVERA,25210000,58335,RUA ODESSA 546,"RUA ODESSA 546, JARDIM PRIMAVERA, DUQUE DE CAXIAS, Rio de Janeiro",142,COLEGIO ESTADUAL HELIO RANGEL,DUQUE DE CAXIAS,1368,0.18,0.0,0.06,0.0,0.63,0.13,180,0,22,0,239,51,126
105,109,74,346,VILA SÃO LUIS,25065050,58335,RUA GENERAL MANOEL RABELO S/N,"RUA GENERAL MANOEL RABELO S/N, VILA SÃO LUIS, DUQUE DE CAXIAS, Rio de Janeiro",132,FACULDADE DE EDUCACAO DA BAIXADA FLUMINENSE - UERJ,DUQUE DE CAXIAS,1155,0.21,0.0,0.04,0.0,0.62,0.12,110,0,15,0,214,43,200
74,60,53,225,JARDIM PRIMAVERA,25215340,58335,"AV. PRIMAVERA, QD 20/22","AV. PRIMAVERA, QD 20/22, JARDIM PRIMAVERA, DUQUE DE CAXIAS, Rio de Janeiro",91,ESCOLA MUNICIPAL REGINA CELI DA SILVA CERDEIRA,DUQUE DE CAXIAS,1074,0.24,0.0,0.04,0.0,0.6,0.12,46,0,10,0,134,28,126
