data,hora,ano,turno,descricao,uf,ue,codigo_municipio,nome_municipio,zona,secao,codigo_cargo,cargo,aptos,comparecimento,abstencoes,votos_nominais,votos_brancos,votos_nulos,votos_legenda,votos_anulados
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,127,240,11,PREFEITO,185,137,48,106,11,20,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,127,95,11,PREFEITO,379,322,57,259,11,52,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,103,193,11,PREFEITO,391,313,78,267,10,36,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,126,191,11,PREFEITO,266,179,87,164,4,11,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,103,130,11,PREFEITO,219,175,44,147,5,23,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,103,61,11,PREFEITO,294,216,78,174,9,33,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,77,33,11,PREFEITO,355,275,80,229,10,36,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,78,121,11,PREFEITO,332,258,74,204,5,49,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,78,140,11,PREFEITO,326,246,80,204,9,33,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,194,83,11,PREFEITO,393,332,61,276,14,42,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,66,9,11,PREFEITO,462,301,161,251,10,40,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,194,112,11,PREFEITO,394,323,71,259,23,41,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,78,162,11,PREFEITO,393,302,91,252,9,41,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,127,257,11,PREFEITO,227,192,35,163,5,24,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,127,195,11,PREFEITO,337,267,70,207,14,46,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,66,31,11,PREFEITO,396,279,117,238,8,33,0,0
